in1,in2,in3,in4,in5,in6,in7,out1,out2,out3,out4,out5,out6
0.017819852,0.846496474,0.050785317,0.406531226,0.441004253,0.554745357,0.803359924,242.285929,519.3446945,2.173297891,0.554745357,0.441004253,0.803359924
0.939834781,0.282718103,0.206096444,0.498914319,0.191099182,0.224220924,0.961077597,274.6200115,655.0953802,140.6691088,0.224220924,0.191099182,0.961077597
0.508100125,0.402513189,0.005591921,0.287529615,0.746587113,0.413666306,0.277186277,200.6353652,471.418136,43.82815,0.413666306,0.746587113,0.277186277
0.330981297,0.488898733,0.01917193,0.150799575,0.882025898,0.884090202,0.751971375,152.7798511,380.3697948,14.97355165,0.884090202,0.882025898,0.751971375
0.939218276,0.363052797,0.041287783,0.552904296,0.562090067,0.119801962,0.688208791,293.5165035,702.0199163,155.7893458,0.119801962,0.562090067,0.688208791
0.810985985,0.943228478,0.206152062,0.390461382,0.030284628,0.667518687,0.5860687,236.6614839,733.784307,94.99761265,0.667518687,0.030284628,0.5860687
0.819039838,0.971332578,0.619897637,0.783277044,0.629113083,0.408376221,0.596770742,374.1469653,939.2316259,192.4605308,0.408376221,0.629113083,0.596770742
0.058336011,0.326957074,0.49704624,0.498261234,0.197970296,0.322937635,0.541071801,274.3914318,445.4538881,8.719971802,0.322937635,0.197970296,0.541071801
0.626432655,0.616917422,0.083146059,0.854389441,0.867087041,0.640669149,0.83674511,399.0363042,838.0322397,160.5652337,0.640669149,0.867087041,0.83674511
0.655674024,0.626660254,0.177299211,0.238438891,0.916455756,0.913242343,0.474972153,183.4536118,539.8030149,46.90145613,0.913242343,0.916455756,0.474972153
0.515372098,0.45457557,0.039440036,0.668746316,0.655111438,0.29162074,0.58809781,334.0612107,676.8600753,103.3959577,0.29162074,0.655111438,0.58809781
0.592690574,0.023883217,0.476999748,0.467235642,0.429417602,0.717149033,0.91347467,263.5324747,487.7612689,83.07784831,0.717149033,0.429417602,0.91347467
0.064877298,0.853582662,0.987532001,0.747191198,0.767868974,0.863292734,0.665839513,361.5169192,703.2105888,14.54272386,0.863292734,0.767868974,0.665839513
0.996781058,0.796987223,0.859860088,0.244493124,0.003671773,0.529667163,0.797336433,185.5725933,670.6886323,73.1118344,0.529667163,0.003671773,0.797336433
0.387344378,0.538822118,0.095459056,0.955745529,0.195936141,0.152836189,0.300509921,434.5109352,809.4143886,111.0607973,0.152836189,0.195936141,0.300509921
0.219688129,0.85809585,0.253642481,0.857296082,0.956599925,0.992206301,0.474745123,400.0536288,798.0940359,56.50133169,0.992206301,0.956599925,0.474745123
0.606041136,0.657803475,0.655654349,0.953626462,0.767974577,0.828577341,0.581974355,433.7692618,892.7743839,173.3810593,0.828577341,0.767974577,0.581974355
0.487951076,0.206897491,0.180919976,0.449939494,0.306742077,0.366997546,0.853531476,257.478823,498.681889,65.86453811,0.366997546,0.306742077,0.853531476
0.803091726,0.522814736,0.513620374,0.270120825,0.099268343,0.276613149,0.700571184,194.5422889,566.5370283,65.07953998,0.276613149,0.099268343,0.700571184
0.452780538,0.770076462,0.449872026,0.006481802,0.092089746,0.633077395,0.244520804,102.2686307,408.9551509,0.880450149,0.633077395,0.092089746,0.244520804
0.402455846,0.951133381,0.964609893,0.347610387,0.855178591,0.075937019,0.82986525,221.6636356,612.2025007,41.96934981,0.075937019,0.855178591,0.82986525
0.158047637,0.6095398,0.839287102,0.418262332,0.02905005,0.585971103,0.539072766,246.3918163,501.0280251,19.83161193,0.585971103,0.02905005,0.539072766
0.490354669,0.811429997,0.264006721,0.75624221,0.701869173,0.988029384,0.949314637,364.6847733,803.5672711,111.2480694,0.988029384,0.701869173,0.949314637
0.729677391,0.895181346,0.271987562,0.361650954,0.719944374,0.186446845,0.938055588,226.5778338,687.040161,79.16655726,0.186446845,0.719944374,0.938055588
0.303403977,0.218884619,0.600305378,0.555055567,0.599525184,0.227353588,0.605195282,294.2694485,508.0999326,50.52182002,0.227353588,0.599525184,0.605195282
0.01955179,0.942120625,0.249586644,0.011353177,0.852096086,0.376730423,0.370167783,103.973612,346.0946923,0.06659248,0.376730423,0.852096086,0.370167783
0.803708757,0.238077318,0.437299329,0.478518011,0.232457951,0.215517456,0.10794057,267.4813039,599.7055241,115.3767347,0.215517456,0.232457951,0.10794057
0.706169465,0.454364478,0.086606604,0.540186258,0.869270684,0.121680367,0.383332225,289.0651903,660.2266146,114.4389122,0.121680367,0.869270684,0.383332225
0.967098866,0.77703454,0.17825719,0.310558611,0.568831779,0.313697411,0.559059962,208.6955138,691.3126569,90.10226411,0.313697411,0.568831779,0.559059962
0.170340486,0.117228904,0.710458638,0.087588246,0.9317112,0.882955799,0.748542643,130.6558862,215.6864708,4.475947336,0.882955799,0.9317112,0.748542643
0.793336152,0.718056733,0.680464071,0.248489407,0.762962011,0.281408401,0.347352093,186.9712926,602.0929251,59.14068909,0.281408401,0.762962011,0.347352093
0.798208446,0.153313436,0.852784507,0.461972049,0.639821681,0.177320867,0.321945985,261.690217,568.8664947,110.6249973,0.177320867,0.639821681,0.321945985
0.912196453,0.568258742,0.763743841,0.074735028,0.197882523,0.380431311,0.898005196,126.15726,507.4813131,20.45190837,0.380431311,0.197882523,0.898005196
0.254147225,0.148711809,0.139458172,0.134212193,0.624191057,0.763756685,0.655193508,146.9742675,267.8208549,10.23289692,0.763756685,0.624191057,0.655193508
0.930818275,0.499864812,0.322536698,0.5136064,0.916419918,0.672739616,0.297836049,279.76224,714.4739718,143.4222669,0.672739616,0.916419918,0.297836049
0.391284363,0.396849421,0.551310211,0.911916835,0.104083054,0.776493778,0.057218049,419.1708923,752.9918637,107.0456395,0.776493778,0.104083054,0.057218049
0.758348448,0.731538176,0.666983428,0.409498193,0.260477121,0.806706797,0.653729214,243.3243677,677.2207525,93.16269579,0.806706797,0.260477121,0.653729214
0.709153276,0.336844737,0.727362677,0.17730954,0.612324465,0.85316828,0.775551134,162.058339,450.1542731,37.72189232,0.85316828,0.612324465,0.775551134
0.661485129,0.152089477,0.713113172,0.489983276,0.43293779,0.820958412,0.746325333,271.4941464,548.3852891,97.23499502,0.820958412,0.43293779,0.746325333
0.03369633,0.938679627,0.332158693,0.536921409,0.177323965,0.68122628,0.07232446,287.9224932,611.5546938,5.427684278,0.68122628,0.177323965,0.07232446
0.900531781,0.621439411,0.612639226,0.299256827,0.758782613,0.43152848,0.518955992,204.7398895,630.1212116,80.84708509,0.43152848,0.758782613,0.518955992
0.850588504,0.664595912,0.574595735,0.315535379,0.945389487,0.301588573,0.108469826,210.4373827,636.5637937,80.51722987,0.301588573,0.945389487,0.108469826
0.82925853,0.91211413,0.374787728,0.327228372,0.886884282,0.315967447,0.503071305,214.5299304,698.9573513,81.40707574,0.315967447,0.886884282,0.503071305
0.169547469,0.450636369,0.95331039,0.993771826,0.388635919,0.003290158,0.680165925,447.8201392,751.9318726,50.54744936,0.003290158,0.388635919,0.680165925
0.88450975,0.533997098,0.818272248,0.961879591,0.283109924,0.382768591,0.499953338,436.6578568,935.5665073,255.2375628,0.382768591,0.283109924,0.499953338
0.870237946,0.167448421,0.484952209,0.131480194,0.938045293,0.368334518,0.279859848,146.018068,425.1616888,34.32571624,0.368334518,0.938045293,0.279859848
0.737015567,0.851426455,0.930029953,0.65281203,0.804742525,0.503297897,0.212775397,328.4842105,823.5165205,144.3397885,0.503297897,0.804742525,0.212775397
0.971302526,0.825792772,0.796816158,0.364540847,0.797549975,0.620556374,0.41159118,227.5892966,731.544248,106.2238337,0.620556374,0.797549975,0.41159118
0.894649221,0.62363926,0.337155835,0.505801543,0.037264253,0.091021562,0.043292899,277.0305401,732.4728919,135.754487,0.091021562,0.037264253,0.043292899
0.238567571,0.325085013,0.279343598,0.875028194,0.676458863,0.681307665,0.910839565,406.2598681,678.4272433,62.62600532,0.681307665,0.676458863,0.910839565
0.489181928,0.868824081,0.349631151,0.891835569,0.348935014,0.31170098,0.673671413,412.1424492,885.4192868,130.8809529,0.31170098,0.348935014,0.673671413
0.231721989,0.385896698,0.632801487,0.977034606,0.538514652,0.742738938,0.493020203,441.9621123,742.921975,67.92012056,0.742738938,0.538514652,0.493020203
0.176998479,0.887090833,0.284697304,0.94035965,0.526629024,0.857977113,0.589084661,429.1258774,836.2021528,49.93266832,0.857977113,0.526629024,0.589084661
0.425220296,0.916325903,0.176177215,0.64996652,0.014204193,0.955709103,0.457913202,327.4882819,760.3698095,82.91368675,0.955709103,0.014204193,0.457913202
0.049522608,0.684481546,0.740343119,0.155365911,0.669912128,0.71892666,0.401747176,154.3780687,361.1839938,2.308237516,0.71892666,0.669912128,0.401747176
0.625053845,0.114385416,0.281326866,0.945826214,0.374756861,0.441095298,0.972346803,431.039175,757.7729224,177.3576936,0.441095298,0.374756861,0.972346803
0.108503083,0.098096298,0.393729397,0.22673795,0.801167385,0.437235065,0.04797788,179.3582825,265.0188204,7.38052998,0.437235065,0.801167385,0.04797788
