in1,in2,in3,in4,in5,in6,out1,out2,out3,out4,out5,out6
0.161189594,0.226687774,0.636970036,0.370754566,0.292407052,0.238052955,0.292407052,0.317709802,0.246983449,0.254359184,0.331580809,0.562622029
0.929133041,0.797564382,0.568197945,0.405566598,0.320101476,0.623367514,0.320101476,0.542901232,0.726014078,0.532387703,0.362834037,0.548905255
0.48430707,0.013564644,0.554152157,0.49837422,0.656030348,0.36860377,0.656030348,0.423542711,0.323767366,0.454831743,0.577202284,0.545785137
0.582031879,0.946271286,0.316609863,0.862418742,0.537118527,0.376317999,0.537118527,0.832938594,0.79363173,0.424558157,0.699768635,0.344631543
0.961649562,0.71538873,0.297095306,0.161186699,0.75335176,0.295577145,0.75335176,0.364386433,0.635319412,0.43290953,0.45726923,0.342569136
0.339230299,0.743340849,0.62458022,0.051847542,0.442480165,0.005311863,0.442480165,0.198678951,0.394454164,0.136462354,0.247163853,0.544443379
0.978923292,0.52001541,0.770355423,0.507774375,0.995630852,0.231286485,0.995630852,0.580282868,0.676960858,0.460589795,0.751702613,0.738976072
0.382068319,0.805278665,0.241550981,0.648795279,0.216777043,0.988807864,0.216777043,0.632258743,0.610210028,0.757198618,0.432786161,0.313799275
0.81550146,0.725567975,0.650394024,0.64203388,0.578931725,0.887377467,0.578931725,0.680584131,0.731984466,0.794843744,0.610482803,0.666946138
0.880448308,0.748352428,0.999791499,0.233502775,0.953512074,0.880934052,0.953512074,0.407772053,0.64013109,0.902707458,0.593507425,0.983277812
0.404516623,0.111523337,0.07616312,0.309206756,0.757349859,0.858193942,0.757349859,0.293850723,0.273376013,0.827940717,0.533278308,0.222484876
0.454318359,0.674697018,0.030557561,0.420289768,0.88808307,0.264572773,0.88808307,0.463555144,0.521242312,0.451625862,0.654186419,0.139711633
0.430779057,0.72495969,0.820665382,0.119204308,0.702413894,0.043116385,0.702413894,0.256803828,0.440269854,0.240905638,0.410809101,0.731085334
0.727856818,0.821770301,0.140404531,0.181636124,0.203602194,0.989844032,0.203602194,0.359589355,0.596860329,0.753971481,0.192619159,0.231668247
0.344889224,0.206668585,0.287212769,0.391306437,0.296909219,0.983056083,0.296909219,0.356648177,0.310437164,0.777212024,0.344107828,0.357766745
0.244258779,0.10020737,0.996383837,0.823284266,0.692488271,0.976861786,0.692488271,0.627968908,0.367548432,0.891549731,0.757886268,0.964042075
0.951235682,0.835574705,0.434870365,0.386979582,0.636675319,0.744363907,0.636675319,0.538907265,0.74147751,0.71205733,0.51182745,0.486000214
0.415559264,0.48422326,0.721501911,0.535918681,0.49918591,0.132600522,0.49918591,0.510110455,0.475699487,0.242576138,0.517552295,0.640380172
0.378683658,0.999443612,0.831744259,0.884768337,0.004544843,0.344450679,0.004544843,0.826056927,0.747775046,0.242478928,0.44465659,0.700294959
0.857544561,0.672380872,0.082229591,0.150478835,0.081640957,0.353592297,0.081640957,0.334824,0.580617552,0.272006895,0.116059896,0.109306998
